population,genotype,individual,uniq_gen,ldmc_av,sla_av,rdmc,root_diam,srl,C_N_ratio
DRUMLIN,12,6,DRUMLIN-12,412.4513064,23.35128632,143.543956,0.238119,183.8436525,18.487
DRUMLIN,12,7,DRUMLIN-12,462.4875,21.67471834,178.6078792,0.238386,143.7569332,20.401
DRUMLIN,12,8,DRUMLIN-12,411.2871947,22.67701419,163.546798,0.229681,155.0536502,24.495
DRUMLIN,12,9,DRUMLIN-12,494.0883058,25.23215714,143.4518853,0.217366,191.7971211,20.1783
DRUMLIN,13,1,DRUMLIN-13,405.5331339,24.86754446,176.3688761,0.246007,107.5018513,15.9819
DRUMLIN,13,2,DRUMLIN-13,342.6703423,27.96941863,135.8858859,0.220242,154.0052793,16.8857
DRUMLIN,13,3,DRUMLIN-13,825.864239,17.74297732,144.1942828,NA,NA,16.4477
DRUMLIN,13,4,DRUMLIN-13,586.082418,21.62683762,153.960396,0.241765,122.8885879,15.1605
DRUMLIN,13,5,DRUMLIN-13,720.3805583,19.49933024,180.2177858,0.265884,88.04682907,16.5133
DRUMLIN,13,6,DRUMLIN-13,488.7510989,20.21628534,180.2266801,0.261085,101.8844454,15.5647
DRUMLIN,13,7,DRUMLIN-13,559.6286622,19.34441361,163.2630287,0.279886,97.10665775,18.9178
DRUMLIN,13,8,DRUMLIN-13,743.5782967,14.54456485,171.1699164,0.24611,121.5232804,17.3731
DRUMLIN,19,1,DRUMLIN-19,344.6379509,26.0716862,139.707419,0.243347,147.8948983,16.3883
DRUMLIN,19,2,DRUMLIN-19,419.5301688,21.53886872,172.4637681,0.246684,105.8084202,17.358
DRUMLIN,19,3,DRUMLIN-19,494.2495544,25.28132598,156.185567,0.218355,163.9096726,19.0866
DRUMLIN,19,4,DRUMLIN-19,498.2387871,26.41442541,160.8225108,0.208687,164.4052102,12.5731
DRUMLIN,19,5,DRUMLIN-19,470.621645,22.56076948,167.7646025,0.277172,91.10088848,19.4352
DRUMLIN,19,6,DRUMLIN-19,576.7603191,24.01577416,124.0007106,0.248826,169.3177071,18.3861
DRUMLIN,20,1,DRUMLIN-20,458.0757532,20.7885664,141.4489311,0.22388,155.4626761,16.7096
DRUMLIN,20,2,DRUMLIN-20,538.8756947,25.25697169,126.7584098,0.244208,172.5070806,17.6684
DRUMLIN,20,3,DRUMLIN-20,351.8882633,28.82587694,122.5784447,0.237342,195.2125909,15.7094
DRUMLIN,20,4,DRUMLIN-20,535.6529101,20.62649178,115.2425217,0.244278,154.7510612,19.379
DRUMLIN,20,5,DRUMLIN-20,398.552904,19.94573386,178.8426763,0.223278,170.4174595,23.4097
DRUMLIN,22,1,DRUMLIN-22,666.472619,NA,213.1652661,0.227908,91.0047017,17.4579
DRUMLIN,22,2,DRUMLIN-22,469.8952381,25.35686781,133.0998249,0.223415,162.7802769,19.782
DRUMLIN,22,3,DRUMLIN-22,610.7254043,24.94281679,129.9145299,0.209449,209.2413508,16.6082
DRUMLIN,22,4,DRUMLIN-22,573.1065062,22.15549006,112.6056465,0.210155,166.1728248,18.7867
DRUMLIN,22,5,DRUMLIN-22,661.5269048,23.82436455,126.2695313,0.219808,180.3698473,15.7529
DRUMLIN,22,6,DRUMLIN-22,878.6769231,26.26037598,135.3420195,0.23138,152.8738069,17.4366
DRUMLIN,22,7,DRUMLIN-22,766.1070898,11.36147646,158.3160083,0.215499,175.591686,18.4775
DRUMLIN,23,1,DRUMLIN-23,416.273214,25.021558,161.0783488,0.235508,124.7018982,14.9655
DRUMLIN,23,2,DRUMLIN-23,440.6970954,26.32826061,144.9635036,0.211277,167.7500292,15.2753
DRUMLIN,23,3,DRUMLIN-23,432.046855,20.71981292,178.1699346,0.210701,136.2155076,16.652
DRUMLIN,23,4,DRUMLIN-23,514.9087615,27.54466379,145.5263158,0.212008,157.3996422,14.5968
DRUMLIN,23,5,DRUMLIN-23,400.899962,22.98195132,160.6234302,0.208624,162.3280143,16.5967
DRUMLIN,23,6,DRUMLIN-23,463.3303519,24.8174361,155.7753936,0.247311,136.543821,17.179
